userid,recency,frequency,monetary,rfm1,rfm2,buyer,ordersize,platform,category,mobile_os
63775658,309,7,39.8,514,513,0,0,"App",3,"android"
64880613,297,8,39.8,514,513,0,0,"Browser",3,"android"
65051746,295,1,72.9,553,552,0,0,"Browser",3,"android"
66689882,277,1,40,554,553,0,0,"Browser",3,"android"
68839217,259,1,21,555,554,0,0,"App",3,"android"
70630920,243,1,19.9,555,554,0,0,"App",3,"android"
73773882,216,1,40,554,553,0,0,"Browser",3,"android"
74279814,213,3,40,524,523,0,0,"Browser",3,"android"
74461297,212,1,19.9,555,554,0,0,"App",3,"android"
74951919,208,1,63.8,553,552,0,0,"App",3,"android"
75523813,204,8,39.9,514,513,0,0,"App",3,"android"
75932923,200,1,38,554,553,0,0,"App",3,"android"
76678559,195,1,39.8,554,553,0,0,"App",3,"android"
77506998,190,1,40,554,553,0,0,"App",3,"android"
79261032,177,10,40,514,513,0,0,"Browser",3,"android"
79860954,171,1,21.9,555,554,0,0,"App",3,"android"
80016586,170,1,40,554,553,0,0,"Browser",3,"android"
81757979,157,9,20,515,514,0,0,"App",3,"others"
82565883,150,2,36.9,534,533,0,0,"App",3,"android"
82610815,150,6,80,513,512,0,0,"Browser",3,"android"
83143175,146,3,19.9,525,524,0,0,"App",3,"android"
83194848,146,4,19.9,525,524,0,0,"App",3,"android"
83353074,145,1,42,554,553,0,0,"Browser",3,"android"
84539194,137,4,39.8,524,523,0,0,"App",3,"android"
84990186,134,4,19.9,525,524,0,0,"App",3,"android"
85263910,132,1,19.9,555,554,0,0,"App",3,"android"
86475790,123,3,20,525,524,0,0,"Browser",3,"android"
87874363,114,3,21,525,524,0,0,"App",3,"android"
88118106,112,1,39.8,554,553,0,0,"App",3,"android"
88891039,107,1,72,553,552,0,0,"App",3,"android"
88970256,107,1,19.9,555,554,0,0,"App",3,"android"
89150385,105,1,19.9,555,554,0,0,"App",3,"android"
89290503,104,3,66,523,522,0,0,"Browser",3,"android"
89569334,102,1,22.9,555,554,0,0,"Browser",3,"android"
89652945,101,4,70,523,522,0,0,"Browser",3,"android"
89753558,101,1,38,554,553,0,0,"App",3,"android"
90098546,98,1,36.9,554,553,0,0,"App",3,"android"
90533914,95,1,124,552,551,0,0,"App",3,"android"
91780790,86,4,19.9,525,524,0,0,"Browser",3,"android"
92393013,82,1,74.7,553,552,0,0,"App",3,"android"
92467866,81,1,39.9,554,553,0,0,"Browser",3,"android"
92987865,79,1,64,553,552,0,0,"App",3,"android"
92995219,79,4,37.6,524,523,0,0,"App",3,"android"
93251044,78,1,72.9,553,552,0,0,"App",3,"android"
94672984,71,1,65.6,453,452,0,0,"App",3,"android"
94942476,69,3,19.8,425,424,0,0,"Browser",3,"android"
96506488,62,6,36.9,414,413,0,0,"App",3,"android"
97969239,59,4,36,423,424,0,0,"App",3,"android"
98628624,57,1,66.9,453,452,0,0,"App",3,"android"
100440305,50,1,65.6,453,452,0,0,"App",3,"android"
101326931,47,1,38,454,453,0,0,"App",3,"android"
101923078,45,1,36.9,454,453,0,0,"App",3,"android"
101928239,45,1,36.9,454,453,0,0,"App",3,"android"
102230555,45,1,38,454,453,0,0,"App",3,"android"
102248414,44,1,63.8,453,452,0,0,"App",3,"android"
102418601,44,1,38,454,453,0,0,"Browser",3,"android"
102505088,44,6,19.8,415,414,0,0,"App",3,"android"
102758425,43,2,65.6,433,432,0,0,"App",3,"android"
103273684,41,3,35,423,424,0,0,"App",3,"android"
103895091,38,3,61.8,422,423,0,0,"Browser",3,"android"
103948348,38,5,64,413,412,0,0,"App",3,"android"
104366667,36,4,35,423,424,0,0,"App",3,"android"
104394042,36,1,64,453,452,0,0,"App",3,"android"
104820614,33,3,36,423,424,0,0,"App",3,"android"
105591540,30,1,65.8,353,352,0,0,"App",3,"android"
105809084,29,2,62,332,333,0,0,"App",3,"android"
105967507,29,2,31,333,334,0,0,"App",3,"android"
106048345,28,4,108,321,322,0,0,"App",3,"android"
106358138,27,4,35,323,324,0,0,"App",3,"android"
107057123,24,7,36,313,314,0,0,"App",3,"android"
107482737,22,2,17.6,334,335,0,0,"App",3,"android"
107547650,22,7,65.6,313,312,0,0,"App",3,"android"
107651278,21,2,31.9,333,334,0,0,"App",3,"android"
107852116,20,6,66,313,312,0,0,"App",3,"android"
108210177,18,2,36,333,334,0,0,"App",3,"android"
108452704,17,1,36.9,354,353,0,0,"App",3,"android"
108458908,17,1,17.8,354,355,0,0,"App",3,"android"
108557735,17,1,36.9,354,353,0,0,"App",3,"android"
108707015,16,2,36,333,334,0,0,"App",3,"android"
109004595,15,2,31,233,234,0,0,"Browser",3,"others"
109096514,14,8,62,212,213,0,0,"App",3,"android"
109146567,14,2,35,233,234,0,0,"App",3,"android"
109329229,13,6,19,214,215,0,0,"App",3,"android"
109423925,13,2,30.9,233,234,0,0,"App",3,"android"
109535293,12,4,32.9,223,224,0,0,"App",3,"android"
109559102,12,3,31.9,223,224,0,0,"App",3,"android"
109679133,11,2,62,232,233,0,0,"App",3,"android"
109737426,11,3,30.9,223,224,0,0,"App",3,"android"
109779910,11,4,19,224,225,0,0,"App",3,"android"
109789786,11,6,59.8,212,213,0,0,"App",3,"android"
109902559,10,7,59.8,112,113,0,0,"App",3,"android"
109916686,10,3,31,123,124,0,0,"App",3,"android"
109986019,10,1,62,152,153,0,0,"App",3,"android"
109989352,10,7,19.9,115,114,0,0,"Browser",3,"android"
110020462,10,1,60,152,153,0,0,"App",3,"android"
110020950,10,3,30,123,124,0,0,"App",3,"android"
110051979,10,3,31,123,124,0,0,"App",3,"android"
110057554,10,1,35,153,154,0,0,"App",3,"android"
110084085,10,3,59.8,122,123,0,0,"App",3,"android"
110109015,10,9,36,113,114,0,0,"App",3,"android"
110137862,10,1,31.9,153,154,0,0,"App",3,"android"
110147456,10,1,36,153,154,0,0,"App",3,"android"
110151319,10,4,51.8,122,123,1,209,"App",3,"android"
110158564,10,8,54,112,113,0,0,"App",3,"android"
110170243,10,2,63.8,133,132,0,0,"App",3,"android"
110185238,10,3,31,123,124,0,0,"App",3,"android"
110185861,10,3,50,122,123,0,0,"App",3,"android"
110187494,10,1,35,153,154,0,0,"App",3,"android"
110204313,10,1,61,152,153,0,0,"App",3,"android"
110215264,10,6,19.9,115,114,0,0,"App",3,"android"
110217730,9,3,36,123,124,0,0,"App",3,"android"
110220575,9,8,36,113,114,0,0,"App",3,"android"
110230461,9,3,30,123,124,0,0,"App",3,"android"
110236120,9,1,36,153,154,0,0,"App",3,"android"
110242257,9,1,32.9,153,154,0,0,"App",3,"android"
110248704,9,3,30.9,123,124,0,0,"App",3,"android"
110249069,9,8,58,112,113,0,0,"App",3,"android"
110250645,9,1,19.9,155,154,0,0,"App",3,"android"
110277056,9,9,56,112,113,0,0,"App",3,"android"
110300890,9,1,62,152,153,0,0,"App",3,"android"
110305641,9,2,19.8,135,134,0,0,"App",3,"android"
110306332,9,1,19.9,155,154,0,0,"App",3,"android"
110309946,9,1,19.9,155,154,0,0,"App",3,"android"
110317350,9,10,34.8,114,114,0,0,"App",3,"android"
110322399,9,4,51,122,123,0,0,"App",3,"android"
110323120,9,2,36,133,134,0,0,"App",3,"android"
110326880,9,1,19.9,155,154,0,0,"App",3,"android"
110330524,9,5,35,113,114,0,0,"App",3,"android"
110340643,9,1,19.9,155,154,0,0,"App",3,"android"
110353168,9,5,62,112,113,0,0,"App",3,"android"
110364395,9,3,54,122,123,0,0,"App",3,"android"
110377053,9,1,19.9,155,154,0,0,"App",3,"android"
110389207,9,1,59,152,153,0,0,"App",3,"android"
110389645,9,1,56,152,153,0,0,"App",3,"android"
110405107,9,4,52,122,123,0,0,"App",3,"android"
110410963,9,4,31.9,123,124,0,0,"App",3,"android"
110473095,9,4,35,123,124,0,0,"App",3,"android"
110473447,9,1,19.9,155,154,0,0,"App",3,"android"
110478005,9,1,59.7,152,153,0,0,"App",3,"android"
110486014,9,1,31.9,153,154,0,0,"App",3,"android"
110497413,9,6,35,113,114,0,0,"App",3,"android"
110502623,9,3,30,123,124,1,209,"App",3,"android"
110522121,9,1,19.8,155,154,0,0,"App",3,"android"
110529512,9,1,31.9,153,154,0,0,"App",3,"android"
60894908,343,3,20,525,524,0,0,"App",3,"android"
62585625,323,3,38,524,523,0,0,"Browser",3,"android"
62617273,323,1,19.9,555,554,0,0,"Browser",3,"android"
62795589,320,1,19.9,555,554,0,0,"Browser",3,"android"
65992003,284,1,21,555,554,0,0,"App",3,"android"
66364365,281,1,40,554,553,0,0,"App",3,"android"
69027647,258,1,39.8,554,553,0,0,"App",3,"android"
69197856,256,1,39.9,554,553,0,0,"App",3,"android"
72406469,225,5,79.6,513,512,0,0,"App",3,"android"
