acctnum,offer,buyer,female,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,refernce,art,geog
51095,Art,0,1,MD,21229,212,37,35,29,117,146,2,0,0,1,0,0,0,1
52315,Art,0,1,PA,18212,182,29,13,45,291,336,4,1,2,0,0,0,1,0
52352,Cook,0,0,NJ,7029,70,23,15,27,84,111,2,0,0,1,0,1,0,0
52355,Cook,0,1,NY,11354,113,15,9,29,59,88,2,0,0,1,0,0,0,1
52478,DIY,0,1,NY,11733,117,9,7,27,193,220,2,0,0,1,0,1,0,0
52519,Cook,0,1,NY,14214,142,9,5,29,72,101,2,1,0,0,0,0,0,1
52673,DIY,0,1,MD,21144,211,5,5,15,287,302,1,0,0,1,0,0,0,0
52759,Art,0,1,NY,10314,103,37,35,29,241,270,2,0,0,1,0,0,0,1
53089,Cook,0,0,MA,2050,20,15,15,15,55,70,1,0,0,0,0,1,0,0
53191,Cook,0,1,PA,18042,180,11,11,15,269,284,1,0,0,0,0,0,0,1
53317,DIY,0,1,NY,11429,114,29,25,23,301,324,2,2,0,0,0,0,0,0
53626,Art,0,0,NJ,8088,80,7,7,15,255,270,1,0,0,0,0,0,1,0
53783,Cook,0,1,NJ,7083,70,11,11,15,173,188,1,0,0,1,0,0,0,0
53842,Cook,0,1,NY,11355,113,25,25,15,40,55,1,0,0,1,0,0,0,0
54160,Art,0,1,NY,10301,103,13,13,15,220,235,1,0,0,0,0,0,1,0
54252,Art,0,1,PA,19114,191,15,15,15,282,297,1,1,0,0,0,0,0,0
54283,Art,0,1,NJ,7058,70,21,15,25,76,101,2,0,0,2,0,0,0,0
54327,Art,0,1,NY,14224,142,3,3,15,14,29,1,0,1,0,0,0,0,0
54405,Cook,1,1,PA,18657,186,27,15,58,297,355,5,1,0,2,0,1,1,0
54559,Art,1,1,NY,14217,142,77,5,137,49,186,12,2,1,3,0,1,1,4
54592,DIY,0,1,NY,11788,117,13,13,15,239,254,1,0,0,0,0,0,1,0
54612,DIY,0,0,ME,4640,46,13,13,15,132,147,1,0,0,0,0,1,0,0
54690,DIY,0,0,NY,10603,106,11,11,15,268,283,1,1,0,0,0,0,0,0
54699,Art,0,1,NJ,7643,76,15,15,15,151,166,1,0,0,1,0,0,0,0
54703,Art,0,1,MA,1826,18,13,13,15,120,135,1,1,0,0,0,0,0,0
54929,Cook,0,1,NJ,7512,75,59,21,138,109,247,12,3,1,3,1,2,0,2
55081,DIY,1,1,NY,14220,142,45,9,140,109,249,11,0,0,1,2,2,2,4
55136,DIY,0,0,VT,5855,58,25,15,63,238,301,5,0,0,1,2,0,1,1
55220,Art,0,1,MD,21209,212,61,35,131,313,444,12,3,3,2,0,1,1,2
55249,Art,0,1,NY,11952,119,45,23,95,212,307,9,3,2,0,2,2,0,0
55270,Art,0,0,DC,20011,200,9,9,15,238,253,1,0,0,0,1,0,0,0
55332,Art,0,0,NY,11694,116,17,11,26,28,54,2,0,0,1,1,0,0,0
55441,Cook,1,1,NY,11234,112,35,13,57,201,258,5,0,0,4,0,1,0,0
55600,Cook,0,0,MD,20715,207,31,21,56,254,310,5,1,1,0,1,0,2,0
55656,Cook,1,1,PA,19382,193,13,13,15,225,240,1,1,0,0,0,0,0,0
55674,DIY,0,1,NY,12020,120,11,11,15,62,77,1,0,0,0,1,0,0,0
55742,DIY,0,0,DE,19720,197,15,15,15,171,186,1,0,0,1,0,0,0,0
56015,DIY,0,1,DE,19810,198,11,11,15,83,98,1,0,0,0,0,0,1,0
56145,Art,0,0,PA,16648,166,53,33,83,157,240,8,3,2,2,0,0,0,1
56170,Art,0,1,NY,12538,125,15,15,15,152,167,1,0,1,0,0,0,0,0
56231,Art,0,1,DE,19940,199,17,17,15,20,35,1,0,0,0,1,0,0,0
56401,Art,0,0,MA,2332,23,57,15,104,264,368,9,0,2,2,2,1,2,0
56550,Art,0,1,CT,6457,64,31,3,55,26,81,5,2,0,2,0,1,0,0
56570,DIY,0,1,PA,18042,180,19,15,28,121,149,2,1,0,0,0,0,1,0
56690,Art,0,1,NY,12585,125,9,5,26,75,101,2,0,0,0,2,0,0,0
56936,Art,0,1,PA,17901,179,19,15,28,165,193,2,1,0,0,0,0,1,0
56942,Cook,0,1,NY,11793,117,47,17,105,254,359,9,1,0,3,2,0,2,1
56943,Art,0,1,NY,11214,112,29,23,27,267,294,2,0,0,1,0,1,0,0
56968,Art,0,1,NJ,8080,80,31,25,29,3,32,2,1,0,0,0,0,0,1
57064,Cook,0,0,MA,2169,21,3,3,15,165,180,1,0,0,0,1,0,0,0
57111,Art,0,0,PA,19067,190,73,33,129,131,260,11,0,2,3,5,0,1,0
57166,Art,0,1,NJ,7105,71,13,11,25,221,246,2,1,0,1,0,0,0,0
57175,DIY,0,1,PA,19454,194,1,1,15,105,120,1,0,0,0,1,0,0,0
57182,Art,0,1,MD,21030,210,5,5,15,100,115,1,0,0,1,0,0,0,0
57188,Art,0,1,CT,6032,60,37,11,86,64,150,7,2,0,1,0,1,1,2
57422,Cook,1,0,NY,10308,103,49,9,89,56,145,8,1,1,4,0,0,1,1
57424,DIY,0,1,NY,11741,117,3,3,15,89,104,1,1,0,0,0,0,0,0
57433,DIY,0,1,NY,12477,124,11,7,24,299,323,2,1,1,0,0,0,0,0
57441,Art,0,1,NY,11788,117,13,13,15,165,180,1,0,0,1,0,0,0,0
57494,Cook,0,1,PA,18072,180,21,21,15,107,122,1,1,0,0,0,0,0,0
57511,Cook,0,1,NY,11779,117,21,21,15,270,285,1,0,0,1,0,0,0,0
57882,DIY,0,1,NJ,7407,74,13,13,15,77,92,1,1,0,0,0,0,0,0
57935,Art,0,1,NY,11561,115,13,13,15,233,248,1,0,1,0,0,0,0,0
57951,DIY,0,1,ME,4679,46,15,15,15,127,142,1,0,0,1,0,0,0,0
58093,Art,0,1,ME,4848,48,39,11,81,133,214,7,1,0,2,2,0,2,0
58137,DIY,0,1,NY,11370,113,31,13,50,23,73,4,2,0,0,0,0,1,1
58148,Cook,0,0,NY,11375,113,3,3,15,170,185,1,0,0,0,1,0,0,0
58190,Art,0,0,NJ,7876,78,65,19,126,140,266,11,2,1,2,2,1,2,1
58207,DIY,0,1,NJ,7901,79,23,15,29,262,291,2,0,0,0,1,0,0,1
58289,Art,0,1,NY,10509,105,47,17,102,278,380,9,1,2,4,0,1,0,1
58327,Cook,0,0,NY,10022,100,31,21,39,10,49,3,0,0,1,1,0,1,0
58531,Cook,0,0,NY,11956,119,35,31,29,45,74,2,0,0,1,0,0,0,1
58685,Art,0,1,NY,14224,142,7,1,29,69,98,2,0,0,1,0,0,0,1
58725,Cook,0,1,NY,11040,110,29,27,25,169,194,2,1,0,1,0,0,0,0
58854,DIY,0,1,MD,21060,210,9,3,29,280,309,2,0,0,0,0,0,1,1
58879,DIY,0,1,MA,2632,26,21,15,29,142,171,2,0,0,0,0,1,0,1
58982,Art,0,1,NJ,7756,77,21,3,98,148,246,9,2,1,1,3,1,0,1
58983,DIY,0,1,DC,20016,200,15,15,15,197,212,1,1,0,0,0,0,0,0
59001,Cook,0,1,MD,20906,209,5,5,15,196,211,1,0,0,0,0,0,1,0
59029,DIY,0,1,NY,11575,115,21,21,15,123,138,1,1,0,0,0,0,0,0
59183,Cook,0,1,NY,10308,103,9,9,15,269,284,1,0,1,0,0,0,0,0
59229,Art,1,0,NY,11577,115,11,9,23,250,273,2,2,0,0,0,0,0,0
59236,DIY,0,0,MA,2130,21,29,1,56,225,281,5,1,0,3,0,0,1,0
59265,Art,0,0,NY,14454,144,3,1,25,236,261,2,1,0,1,0,0,0,0
59280,Art,0,1,NY,11373,113,7,7,15,178,193,1,0,1,0,0,0,0,0
59416,DIY,1,1,NJ,8831,88,13,1,37,150,187,3,2,0,0,0,0,0,1
59464,Art,0,1,NY,10301,103,75,21,122,259,381,11,3,3,0,1,1,1,2
59509,Art,0,1,NY,11414,114,21,21,15,114,129,1,1,0,0,0,0,0,0
59532,Art,0,0,PA,19115,191,61,11,107,87,194,10,3,1,3,1,1,0,1
59582,DIY,0,1,NY,12078,120,1,1,15,80,95,1,0,0,1,0,0,0,0
59619,Cook,0,1,NJ,7002,70,5,5,15,235,250,1,0,0,0,1,0,0,0
59653,Cook,0,0,NJ,8344,83,25,17,48,88,136,4,1,0,1,1,1,0,0
59690,DIY,0,1,MA,2172,21,29,29,15,273,288,1,0,0,0,1,0,0,0
59702,Art,0,1,CT,6611,66,67,19,135,342,477,12,2,1,5,0,0,1,3
59711,Cook,0,1,CT,6418,64,17,13,29,57,86,2,0,1,0,0,0,0,1
59712,Cook,0,1,NJ,7016,70,23,17,29,57,86,2,1,0,0,0,0,0,1
59885,DIY,0,1,CT,6497,64,33,13,64,301,365,5,1,0,1,0,1,1,1
59999,DIY,0,0,PA,17602,176,19,11,25,19,44,2,0,0,2,0,0,0,0
60029,Cook,0,1,PA,17309,173,47,9,87,244,331,7,1,0,1,0,0,2,3
60086,Cook,0,0,MA,1518,15,23,15,29,117,146,2,0,0,0,1,0,0,1
60112,DIY,0,0,NJ,7203,72,9,9,15,90,105,1,0,0,0,0,1,0,0
60151,Cook,0,1,CT,6897,68,27,17,51,112,163,4,0,0,1,0,2,0,1
60167,DIY,0,1,MD,21216,212,41,15,58,206,264,5,2,1,0,0,1,0,1
60191,Art,0,0,MA,2152,21,65,15,105,47,152,9,0,1,4,0,2,1,1
60233,DIY,0,0,NJ,8054,80,39,19,72,56,128,6,2,0,1,1,0,0,2
60238,DIY,0,1,PA,18436,184,1,1,15,103,118,1,1,0,0,0,0,0,0
60282,Art,0,1,PA,15644,156,25,25,15,157,172,1,0,0,1,0,0,0,0
60369,DIY,0,1,PA,18458,184,47,25,99,107,206,9,3,1,2,0,1,1,1
60426,DIY,0,0,DE,19711,197,59,23,85,134,219,7,0,1,3,0,0,1,2
60479,Art,0,1,NY,10703,107,19,15,25,169,194,2,1,0,1,0,0,0,0
60538,DIY,1,1,NJ,8757,87,11,9,29,54,83,2,0,0,0,1,0,0,1
60619,DIY,0,0,NJ,7067,70,53,3,105,244,349,9,2,1,1,1,2,0,2
60620,DIY,0,1,DE,19803,198,21,15,29,193,222,2,0,0,0,0,1,0,1
60647,DIY,0,1,PA,19355,193,7,7,15,3,18,1,0,0,0,0,0,0,1
60681,DIY,0,1,NY,11223,112,43,3,114,68,182,10,2,1,2,1,2,1,1
60702,Cook,0,0,NJ,7733,77,61,15,135,261,396,12,5,0,2,3,0,0,2
60756,Cook,1,0,DE,19720,197,51,9,82,96,178,7,2,0,2,0,1,1,1
60779,Art,0,0,NY,11596,115,65,9,137,195,332,12,3,3,5,0,0,1,0
