age,numpurch,totdol,female,res,adB
31,1,125,0,0,1
44,2,768,0,0,0
41,1,87,0,0,1
34,2,57,1,0,1
40,1,56,0,0,1
35,1,69,1,0,1
44,1,84,1,0,0
33,2,54,1,0,0
41,1,248,0,0,1
35,1,70,1,0,0
31,2,248,1,0,0
37,2,577,1,1,1
37,5,2101,1,1,0
36,2,64,0,0,1
39,5,1593,1,0,1
37,1,60,0,0,0
33,2,55,0,0,0
41,2,78,1,0,0
37,2,69,0,0,1
37,1,86,0,0,0
41,1,72,1,0,1
36,2,76,0,0,1
37,2,63,1,0,0
33,1,51,1,0,0
39,1,53,0,0,1
39,3,67,1,0,1
39,1,261,0,0,1
34,1,63,0,0,0
40,2,156,0,1,0
30,6,2162,0,1,0
41,1,72,1,1,0
34,1,52,1,0,0
39,3,840,0,0,0
42,3,183,0,0,0
35,1,73,1,0,0
38,1,89,0,0,1
35,1,60,0,0,1
39,2,335,0,0,0
37,1,89,1,1,0
36,2,74,0,0,0
35,1,205,0,0,1
35,7,2731,1,0,1
32,1,55,0,0,0
36,1,52,0,1,0
37,1,66,0,0,0
31,1,59,0,0,0
34,1,57,0,0,0
38,1,52,1,0,1
42,6,3064,1,1,0
43,1,61,0,0,0
36,1,53,0,0,0
34,1,63,0,0,0
39,3,67,0,0,1
35,1,74,0,0,0
41,2,905,1,0,1
37,1,60,0,0,0
33,1,55,0,0,1
33,1,74,1,0,0
34,1,74,0,0,0
36,1,60,0,0,0
36,1,60,0,0,1
36,2,74,0,0,1
38,1,55,0,0,1
33,2,205,1,0,1
43,1,76,0,0,1
34,1,91,0,0,1
34,1,63,1,0,0
43,1,104,0,0,1
37,2,419,0,0,1
41,1,90,1,0,0
35,1,125,0,0,0
39,5,2216,1,0,1
37,1,203,0,0,0
35,2,115,0,0,1
36,2,71,1,0,0
39,2,55,0,1,1
37,3,112,1,0,1
38,2,78,0,0,0
35,2,163,1,0,1
45,2,59,0,0,0
38,4,1210,1,0,1
38,1,60,0,0,0
37,1,54,1,0,0
53,9,4063,0,1,0
38,1,169,1,0,1
36,2,485,0,0,1
38,1,70,0,0,1
40,1,51,1,0,1
38,1,53,0,0,1
49,1,331,1,1,1
33,2,75,0,0,0
40,1,55,1,1,1
37,1,203,1,0,1
35,1,61,1,0,0
42,1,112,1,0,0
39,2,192,0,0,0
31,1,74,1,0,0
42,2,55,1,0,0
40,2,65,0,0,0
29,1,80,1,0,0
36,1,129,1,0,1
37,1,51,1,0,0
30,1,59,0,0,1
32,1,187,0,0,0
42,1,112,1,0,0
41,2,435,0,0,0
32,1,68,1,0,1
37,1,59,0,0,0
44,15,6218,1,1,1
44,6,2297,1,1,1
36,2,62,1,0,0
39,1,54,1,0,1
37,5,1764,1,1,0
41,1,101,0,0,1
29,1,54,1,0,1
47,1,76,0,1,1
40,1,55,1,0,1
31,1,56,0,0,0
54,6,2286,1,1,0
36,5,1690,1,1,0
36,1,51,1,0,0
44,1,61,0,0,1
44,6,2297,1,0,1
28,1,79,0,0,1
36,1,313,0,0,1
36,2,59,0,0,1
46,2,55,0,0,1
30,2,77,0,0,0
41,1,58,1,0,0
35,2,317,0,0,0
40,2,51,0,0,1
43,4,1088,1,0,1
40,1,564,0,1,0
40,2,389,1,0,1
32,1,91,1,0,0
35,2,55,0,1,1
38,1,98,0,0,1
41,3,292,0,1,0
