temp,weekday,cost,price,sales
17.3,6,1.5,5.6,173
25.4,3,0.3,4.9,196
23.3,5,1.5,7.6,207
26.9,1,0.3,4.3,248
20.2,1,1.0,6.2,237
26.1,6,0.5,6.6,193
25.0,6,0.3,4.9,191
18.5,5,0.5,3.9,189
30.1,3,1.0,7.3,211
19.8,5,0.3,5.4,167
24.3,4,0.5,6.0,188
22.7,6,0.5,3.2,193
23.3,2,0.5,6.3,184
25.7,5,1.0,4.4,194
22.6,7,1.5,5.5,229
22.2,2,1.0,6.1,191
20.7,5,0.5,5.8,182
23.5,2,1.0,6.4,197
27.8,2,0.5,4.1,202
35.2,4,0.3,5.2,217
23.3,6,1.5,6.0,195
25.0,7,1.5,6.4,209
24.0,6,0.5,5.6,189
20.1,4,0.3,4.5,183
20.8,6,0.5,4.9,182
22.0,4,1.5,9.3,203
25.7,2,1.5,5.5,195
23.1,5,0.5,5.6,183
15.7,3,1.0,6.2,166
25.1,3,0.5,5.3,192
24.1,5,0.3,6.1,181
18.1,5,1.0,7.3,181
21.2,1,1.5,4.6,244
29.5,3,1.0,4.9,202
29.3,7,1.0,6.1,228
23.9,3,1.5,7.4,198
27.0,1,0.3,4.0,248
32.3,7,0.5,5.3,241
20.4,3,1.5,6.0,181
29.4,7,0.3,4.8,241
23.1,3,0.3,5.4,180
32.0,1,1.5,6.2,214
25.0,2,0.3,4.4,194
24.9,6,1.0,6.8,190
27.4,4,1.0,5.1,205
28.5,5,0.3,5.7,194
27.1,2,0.3,4.6,206
24.6,1,0.5,5.7,236
30.3,2,1.5,7.1,220
22.8,3,1.5,5.9,193
34.9,3,1.0,8.1,230
16.8,5,1.5,6.4,177
29.5,1,1.5,6.7,215
25.1,6,0.5,4.3,197
32.0,2,1.0,7.8,216
27.3,2,1.5,5.1,200
27.7,2,1.0,5.8,202
29.2,2,0.3,4.4,201
23.5,3,0.3,5.0,185
20.8,5,1.5,6.5,186
27.7,5,0.3,5.5,191
25.4,1,1.5,6.2,227
20.2,4,0.5,7.6,176
26.2,2,0.5,5.9,196
28.9,6,1.0,7.0,207
24.1,3,1.0,6.0,186
25.1,2,1.0,5.7,193
32.0,2,1.0,8.1,222
23.3,3,0.5,6.2,188
31.4,2,0.5,6.7,203
24.5,1,0.5,5.6,236
25.7,1,1.0,5.5,241
26.8,7,1.5,7.0,218
24.0,1,1.0,4.8,245
21.8,2,1.5,7.5,196
23.6,7,0.5,4.6,248
