Student_ID,Email,Class_Hours,Female,Age,Income,GPA
1,1,77,1,27,81,3.55
2,0,106,0,27,100,3.3
3,1,63,0,24,110,4.0
4,1,59,1,32,75,3.34
5,1,50,1,30,116,4.0
6,0,77,1,37,90,3.99
7,1,69,1,21,78,3.84
8,0,61,0,33,103,4.0
9,0,65,0,35,86,2.92
10,0,107,0,35,91,4.0
11,1,46,1,38,86,4.0
12,1,81,0,35,81,3.66
13,0,45,0,39,102,3.4
14,1,54,1,27,88,3.14
15,1,58,1,30,72,4.0
16,1,82,1,20,100,3.73
17,1,79,1,20,75,3.31
18,1,116,1,25,76,3.62
19,1,125,1,22,109,4.0
20,1,90,1,25,75,4.0
21,1,55,0,24,64,3.93
22,1,117,1,21,101,4.0
23,1,110,1,38,88,3.41
24,1,113,1,20,89,4.0
25,1,36,1,35,88,3.18
26,1,107,0,23,95,4.0
27,1,116,1,38,81,4.0
28,0,87,1,38,113,3.66
29,1,103,1,33,71,3.6
30,1,112,1,33,98,4.0
31,1,82,0,20,101,3.31
32,1,112,1,40,81,3.78
33,1,110,1,38,78,4.0
34,0,116,0,38,106,4.0
35,1,119,0,33,78,4.0
36,1,83,0,27,84,4.0
37,0,31,1,38,104,3.55
38,0,27,1,26,92,3.46
39,0,111,0,31,67,4.0
40,1,74,1,22,116,4.0
41,1,69,1,38,85,3.07
42,1,80,1,23,86,3.61
43,1,63,1,24,96,3.85
44,1,92,0,31,101,4.0
45,1,117,1,35,119,4.0
46,1,54,0,32,69,4.0
47,1,110,1,25,104,4.0
48,1,103,1,20,102,4.0
49,1,87,1,35,90,4.0
50,1,70,1,40,103,3.91
51,1,117,0,36,105,3.18
52,1,68,0,29,73,3.87
53,0,67,0,38,116,3.89
54,1,89,0,28,70,3.4
55,1,122,1,30,76,4.0
56,0,73,0,30,88,3.81
57,1,111,1,29,119,4.0
58,1,79,1,36,88,3.77
59,1,56,1,31,92,3.32
60,1,53,1,26,112,4.0
61,1,50,1,25,88,4.0
62,1,36,1,21,76,4.0
63,1,84,0,32,86,3.27
64,1,54,1,25,111,3.99
65,1,120,1,23,93,4.0
66,0,124,1,33,119,3.54
67,0,74,1,34,102,3.63
68,0,65,0,35,83,3.35
69,1,71,1,30,93,4.0
70,1,91,0,38,80,3.62
71,0,79,0,39,83,2.99
72,1,76,1,36,120,4.0
73,1,71,1,33,106,3.36
74,1,98,0,26,104,4.0
75,1,85,0,40,83,3.85
76,0,99,0,25,114,4.0
77,1,125,0,24,107,3.21
78,1,117,1,29,118,4.0
79,1,71,1,21,118,4.0
80,1,104,1,40,71,3.64
81,1,74,0,32,76,3.96
82,1,105,0,31,78,3.99
83,0,105,1,33,79,2.92
84,1,60,1,30,97,3.32
85,1,57,1,21,84,3.41
86,1,84,1,32,120,4.0
87,1,45,0,34,119,4.0
88,1,100,0,28,92,4.0
89,1,111,0,35,119,4.0
90,1,74,1,25,113,4.0
91,1,79,1,24,86,3.71
92,1,83,0,23,64,3.33
93,1,41,0,27,89,4.0
94,1,101,1,37,83,3.4
95,1,85,0,37,95,3.87
96,1,95,1,28,93,3.42
97,1,106,1,32,93,4.0
98,1,103,1,34,99,3.91
