customer,churn,revenue,mou,overage,roam,threeway,months,uniqsubs,phones,custcare,retcalls,dropvce,blckvce,unansvce,eqpdays,refurb,webcap,children,creditaa,prizmrur,mcycle,occprof,occcler,occcrft,occstud,occhmkr,occret,occself,travel,referred
1076775,0,35.485,240.25,0.0,0.0,0.0,13,1,2,0.0,0,2.333333,0.3333333,17.0,175,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1026409,0,12.4325,79.75,13.25,0.0,0.0,20,2,1,0.0,0,0.0,4.0,7.666667,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1009927,0,30.26,3.0,0.0,0.0,0.0,29,1,1,0.0,0,0.3333333,0.0,2.0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1055278,0,118.21,2847.5,109.5,0.0,1.333333,16,1,1,12.66667,0,34.33333,50.33333,198.3333,456,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1014977,0,49.815,150.5,54.5,0.48,0.0,25,1,1,0.0,0,1.333333,1.333333,9.666667,749,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1044801,0,30.7425,149.25,0.0,0.0,0.0,21,1,1,0.0,0,1.333333,0.0,21.0,609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1037585,0,40.475,617.75,9.25,0.0,0.3333333,21,1,1,1.0,0,13.0,1.666667,21.0,621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1064416,0,10.285,96.75,0.0,0.195,0.0,10,2,2,0.0,0,3.333333,0.0,2.0,233,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1092078,0,55.125,821.25,2.0,0.355,0.3333333,10,1,1,1.0,0,14.0,17.33333,24.33333,303,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1028566,0,31.5025,119.5,0.0,0.7275,0.0,19,3,1,0.0,0,1.333333,0.3333333,4.666667,579,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1030984,0,30.495,58.0,0.0,0.0,0.0,25,1,1,0.0,0,1.333333,0.3333333,3.666667,739,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1031154,0,47.915,297.25,0.0,0.0,0.0,19,1,2,0.0,0,1.0,1.0,6.666667,545,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1001660,0,32.0675,69.75,0.0,0.0,0.0,46,1,3,0.3333333,0,1.0,0.0,3.0,755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1088941,0,50.7325,95.0,0.0,0.0,0.0,11,1,1,0.6666667,0,0.3333333,0.0,5.333333,333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1020833,0,72.9675,552.5,38.5,0.195,0.0,24,1,1,0.0,0,8.333333,0.0,10.0,731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1084541,0,34.99,515.0,0.0,0.0,1.666667,13,1,1,0.0,0,2.333333,0.0,7.333333,366,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
1071526,0,152.5775,1731.25,285.25,0.0,1.333333,10,1,1,12.66667,0,38.33333,44.0,32.0,310,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1022980,0,85.22,364.75,134.75,0.395,0.6666667,25,1,4,0.6666667,0,4.333333,0.3333333,47.0,381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1036945,0,29.555,1376.5,90.25,0.0,2.666667,21,4,1,1.666667,0,9.333333,15.66667,97.33334,628,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1076398,0,39.99,244.25,0.0,0.0,0.0,9,1,1,2.333333,0,7.666667,4.333333,17.66667,286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1095858,0,66.6825,357.25,80.5,0.0,0.0,8,1,1,4.666667,0,8.0,0.3333333,25.33333,234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1061448,0,60.335,281.0,0.25,0.0,0.3333333,16,2,2,1.666667,1,5.0,5.333333,52.66667,147,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1098363,0,138.97,1282.25,168.0,0.0,0.6666667,42,2,4,11.0,0,22.66667,1.666667,76.66666,175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1046324,0,113.7825,301.5,8.0,0.0,0.0,14,5,1,0.0,0,0.6666667,1.333333,5.0,426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1098540,0,84.865,624.0,35.5,0.0,0.0,40,2,2,0.0,0,12.66667,0.6666667,25.33333,1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1069035,0,14.39,119.0,1.0,0.0,0.0,13,2,1,0.0,0,0.3333333,0.0,0.6666667,373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075845,0,78.025,583.75,122.25,0.0,0.0,11,1,1,0.6666667,0,3.666667,6.666667,14.0,334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1087093,0,66.3325,810.5,19.0,0.0,0.0,6,1,1,0.3333333,0,7.333333,3.0,23.66667,183,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1002498,0,138.6975,1849.25,80.75,0.0,0.0,44,2,4,0.0,0,10.66667,8.666667,31.0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1088156,0,69.9625,870.0,47.25,0.5775,1.0,10,2,1,3.0,0,3.333333,15.33333,51.0,281,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1009024,1,11.275,21.75,0.0,0.0,0.0,32,1,1,0.0,0,0.0,0.0,1.333333,958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1068250,0,29.99,55.25,0.0,0.0,0.0,11,1,1,0.0,0,0.0,0.0,0.0,332,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1031603,0,50.64,182.0,0.0,0.64,0.0,23,1,2,0.0,0,3.333333,0.3333333,85.33334,629,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1027766,0,30.8425,244.75,4.75,0.0,0.0,23,2,1,0.3333333,0,3.333333,1.333333,13.66667,693,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1031893,0,35.6225,225.5,4.75,0.0,0.0,25,3,2,0.0,0,4.666667,0.0,5.333333,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028903,0,37.9075,314.25,19.25,0.355,0.0,19,1,1,0.0,0,12.33333,0.0,4.0,577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1054122,1,83.495,1375.0,134.75,0.0,1.0,14,1,1,4.0,0,12.66667,2.333333,58.0,418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1026466,0,47.495,180.25,66.75,0.0975,0.3333333,20,1,1,0.0,0,2.0,0.6666667,21.66667,597,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1060923,0,114.99,322.75,22.75,47.68,0.3333333,12,2,1,0.3333333,0,7.0,0.0,36.0,378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1060858,0,55.2775,630.0,12.0,0.0,0.0,14,1,2,0.6666667,0,10.0,0.0,34.33333,422,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1034623,0,37.66,423.75,16.25,0.0,0.0,18,2,1,8.0,0,3.666667,0.6666667,16.0,547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1063316,0,30.455,230.75,0.5,0.0,0.0,10,2,2,0.0,0,2.0,0.0,17.66667,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1095598,0,34.99,193.0,0.0,0.0,0.0,7,1,1,0.0,0,0.0,0.3333333,0.3333333,182,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1070999,0,35.305,144.75,0.0,0.0,0.0,8,1,3,0.0,0,1.666667,19.66667,3.333333,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1006849,0,46.3875,295.25,0.0,0.0,0.0,37,2,1,3.0,0,3.0,0.0,9.666667,1109,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1085145,0,46.6875,70.0,0.0,0.0,0.0,6,1,2,0.0,0,0.3333333,1.666667,1.0,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1035778,0,29.99,3.0,0.0,0.0,0.0,20,1,1,0.0,0,0.0,0.3333333,0.3333333,594,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1032652,0,77.3,451.75,91.0,0.0,0.0,25,1,1,0.0,0,1.333333,1.333333,10.33333,733,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1044348,0,46.2475,34.75,4.0,0.0,0.0,21,2,1,0.0,0,0.0,0.0,5.333333,613,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1070835,0,44.7175,504.25,92.0,0.0,0.0,10,1,1,0.0,0,0.0,0.0,0.0,315,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1036570,0,30.32,176.0,0.0,0.0,0.6666667,17,1,1,0.0,0,4.666667,0.6666667,28.33333,523,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1072871,0,89.9475,212.25,9.75,2.025,0.0,14,2,1,0.0,0,1.0,0.0,14.66667,409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
